model,weights size (bytes),top-1 accuracy
alexnet,243862414,0.55814
caffenet,243862418,0.56008
densenet-121-tf,32303870,0.72476
densenet-169-tf,7375426,0.74338
densenet-169,57307526,0.74782
densenet-201,81062969,0.7564
googlenet-v1,53533754,0.68016
mobilenet-v2,14186496,0.69772
octave-densenet-121-0.125,32343861,0.7448
octave-resnet-101-0.125,178678989,0.7816
octave-resnet-26-0.25,64096267,0.74158
octave-se-resnet-50-0.125,112584987,0.7727
resnet-101,178662602,0.72256
resnet-50-int8-sparse-v1-tf-0001,102121952,0.72008
resnet-50-int8-sparse-v2-tf-0001,102121952,0.72034
resnet-50-int8-tf-0001,102121960,0.69818
resnet-50,102462397,0.70598
squeezenet1.0,5001403,0.57086
squeezenet1.1,4950080,0.57284
densenet-121,32303870,0.73204
densenet-161-tf,56555760,0.75828
octave-resnext-101-0.25,177323213,0.78444
octave-resnext-50-0.25,100401545,0.7746
vgg16,553432081,0.6579
