model,performance (ralative)
resnet-50-int8-sparse-v1-tf-0001,0.8928996834976347
densenet-201,0.7150627899853661
densenet-161-tf,0.5357880228244716
octave-resnet-101-0.125,0.4823683225374641
squeezenet1.0,0.9700854216061077
caffenet,0.8775878889632562
octave-densenet-121-0.125,0.7025615137661513
googlenet-v1,0.9203554128710962
octave-resnext-101-0.25,0.35539018275459155
densenet-121,0.8256712913069619
resnet-50-int8-tf-0001,0.8951373211875078
densenet-169-tf,0.7926030334312714
octave-resnet-26-0.25,0.8601632426177809
octave-resnext-50-0.25,0.6372077457998208
mobilenet-v2,0.9891521366745698
resnet-101,0.5750303456568842
squeezenet1.1,1.0
resnet-50,0.7951668160315821
densenet-169,0.7810036187904845
alexnet,0.8744313734387585
vgg16,0.0
densenet-121-tf,0.8362837630883371
resnet-50-int8-sparse-v2-tf-0001,0.8956137763610169
